Food Name,Fat,Palmitic,Stearic,Arachidic,Behenic,Lignoceric,Total Saturates,Palmitoleic,Oleic,Total Mono Unsaturates,Linoleic,Alpha Linolenic,Total Poly Unsaturates
BAJRA,5.5,1.0,0.24,0.0,0.0,0.0,1.24,0.0,1.2,1.2,2.2,0.13,2.33
JOWAR,3.3,0.5,0.07,0.0,0.0,0.0,0.57,0.0,1.0,1.0,1.5,0.05,1.55
MAIZE (dry),4.8,0.7,0.2,0.0,0.0,0.0,0.9,0.0,1.1,1.1,2.2,0.05,2.25
RAGI,1.5,0.3,0.02,0.0,0.0,0.0,0.32,0.0,0.7,0.7,0.3,0.05,0.35
RICE (raw - milled),1.7,0.4,0.05,0.0,0.0,0.0,0.45,0.0,0.4,0.4,0.5,0.01,0.51
WHEAT (whole),2.9,0.4,0.1,0.0,0.0,0.0,0.5,0.0,0.3,0.3,1.1,0.17,1.27
BENGAL GRAM (whole),6.9,0.5,0.07,0.0,0.0,0.0,0.57,0.0,1.2,1.2,3.5,0.2,3.7
COWPEA,2.9,0.6,0.1,0.0,0.08,0.0,0.8,0.0,0.2,0.2,0.8,0.5,1.3
GREEN GRAM (whole),1.7,0.4,0.05,0.0,0.0,0.0,0.45,0.0,0.05,0.05,0.6,0.2,0.8
LENTIL,2.0,0.2,0.04,0.0,0.04,0.0,0.3,0.0,0.4,0.4,0.8,0.16,0.96
RAJMAH,2.2,0.3,0.04,0.0,0.03,0.0,0.4,0.0,0.2,0.2,0.5,0.7,1.2
SOYABEAN,20.0,1.4,0.8,0.0,0.0,0.0,2.2,0.0,5.4,5.4,10.4,1.4,11.8
POTATO,17.0,2.2,0.34,0.0,0.0,0.0,2.54,0.0,1.8,1.9,9.1,0.26,9.36
COCONUT (dry),40.0,3.5,1.7,0.0,0.0,0.0,8.8,0.0,21.0,21.0,10.0,0.2,10.2
GINGELLY SEEDS,40.0,4.0,1.6,0.0,0.0,0.0,6.0,0.0,18.0,18.0,16.0,0.4,16.4
GROUNDNUT,40.0,4.0,1.6,0.0,0.0,0.0,6.0,0.0,18.0,18.0,16.0,0.4,16.4
MUSTARD SEEDS,40.0,0.4,0.2,0.0,0.0,0.0,2.0,0.0,5.0,27.0,5.0,3.5,8.5
CHILLIES (dry),9.0,0.3,0.08,0.0,0.0,0.0,0.38,0.0,4.7,4.7,2.1,0.48,2.58
CORIANDER SEED,10.0,0.9,0.3,0.0,0.0,0.0,1.2,0.0,1.5,1.5,3.4,1.9,5.3
CUMIN SEEDS,20.0,0.06,0.1,0.0,0.0,0.0,0.7,0.0,12.5,12.5,3.0,0.02,3.02
FENUGREEK SEEDS,40.0,8.0,4.0,0.0,0.0,0.0,36.0,0.0,3.2,3.2,0.6,0.0,0.6
BUTTER,0.0,29.4,13.5,0.0,0.0,0.0,69.4,0.0,28.0,28.0,2.5,0.0,2.5
OTHER LEAFY VEGETABLES,0.4,0.05,0.01,0.0,0.027,0.0,0.09,0.0,0.025,0.025,0.04,0.15,0.19
OTHER VEGETABLES,0.6,0.15,0.002,0.0,0.0,0.0,0.152,0.0,0.15,0.15,0.08,0.06,0.14
GROUNDNUT OIL,0.0,12.6,1.7,4.2,2.1,0.3,20.9,1.4,47.9,49.3,29.9,0.0,29.9
SUNFLOWER OIL,0.0,5.6,2.2,0.9,0.0,0.4,9.1,0.0,25.1,25.1,66.2,0.0,66.2
MUSTARD OIL,0.0,2.9,0.9,6.9,0.0,0.0,10.7,0.6,8.9,56.0,18.1,14.5,32.6
COCONUT OIL,0.0,7.8,2.3,0.0,0.0,0.0,89.5,0.0,7.8,7.8,2.0,0.0,2.0
GINGELLY OIL,0.0,9.7,4.0,0.0,0.0,0.0,13.7,0.1,41.2,41.3,44.5,0.0,44.5
SOYA BEAN OIL,0.0,9.8,2.4,0.9,0.0,0.0,13.1,0.0,28.9,28.9,50.7,6.5,57.2
RICE BRAN OIL,0.0,19.5,2.6,0.0,0.0,0.0,22.1,0.0,41.0,41.0,34.3,1.4,35.7
PALMOLEIN OIL,0.0,42.3,3.5,0.0,0.0,0.0,47.7,0.4,41.0,41.4,10.3,0.3,10.6
COTTON SEED OIL,0.0,23.4,1.1,1.3,0.0,0.1,25.9,0.0,22.9,22.9,50.9,0.0,50.9
BLACK GRAM (whole),1.7,0.2,0.05,0.0,0.0,0.0,0.3,0.0,0.2,0.2,0.1,0.7,0.8
CORN OIL,0.0,10.7,1.7,0.0,0.0,0.0,12.7,0.0,29.6,29.6,57.4,0.0,57.4
OLIVE OIL,0.0,12.5,2.3,0.0,0.0,0.0,14.8,0.0,74.5,74.5,10.0,0.0,10.0
PALM OIL,0.0,42.0,4.3,0.0,0.0,0.0,46.3,43.7,0.0,43.7,10.0,0.0,10.0
SAFFLOWER OIL,0.0,7.8,2.1,0.8,0.0,0.0,10.7,0.0,16.7,16.7,73.5,0.0,73.5
LARD,0.0,26.2,20.0,0.0,0.0,0.0,46.2,0.0,99.999,45.2,11.0,0.0,11.0
TALLOW,0.0,27.9,21.3,0.0,0.0,0.0,54.9,0.0,40.9,40.9,4.2,0.0,4.2
RED GRAM (whole),2.2,0.4,0.08,0.0,0.0,0.0,0.48,0.0,0.1,0.1,0.1,0.1,1.1
PEA,2.1,0.2,0.06,0.0,0.0,0.0,0.26,0.0,0.4,0.4,0.8,0.15,0.95
BEANS (FRESH),0.2,0.04,0.007,0.0,0.0,0.0,0.047,0.0,0.009,0.009,0.07,0.04,0.11
